EstadoMovimientoId,TipoEstadoId,MovimientoId,FechaAlta,HoraAlta,EmpleadoId,ETD,ZonaFondeoId,LatGrados,LatMinutos,LatSegundos,LongGrados,LongMinutos,LongSegundos
3783,2,905,2017-03-16 00:00:00.000,2017-03-21 20:30:00.000,64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3784,4,905,2017-03-16 00:00:00.000,2017-03-21 20:32:00.000,64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3785,3,906,2017-03-16 00:00:00.000,2017-03-16 20:33:00.000,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3786,20,906,2017-03-16 00:00:00.000,2017-03-16 19:22:00.000,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3787,2,906,2017-03-16 20:15:00.000,2017-03-16 20:15:00.000,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3788,4,903,2017-03-16 00:00:00.000,2017-03-16 20:34:45.160,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3789,4,904,2017-03-16 00:00:00.000,2017-03-16 21:00:00.000,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3790,4,906,2017-03-16 00:00:00.000,2017-03-16 21:17:34.920,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3791,3,907,2017-03-16 00:00:00.000,2017-03-16 22:25:00.000,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3792,2,907,2017-03-16 22:12:00.000,2017-03-16 22:12:00.000,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3793,3,908,2017-03-16 00:00:00.000,2017-03-21 22:30:00.000,65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3794,20,908,2017-03-16 00:00:00.000,2017-03-21 22:26:00.000,65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3795,2,908,2017-03-16 00:00:00.000,2017-03-21 22:27:00.000,65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3796,4,908,2017-03-16 00:00:00.000,2017-03-21 22:31:00.000,65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3797,4,907,2017-03-16 00:00:00.000,2017-03-16 22:52:20.307,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3798,3,909,2017-03-17 00:00:00.000,2017-03-21 07:30:00.000,65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3799,2,909,2017-03-17 00:00:00.000,2017-03-21 07:30:00.000,65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3800,4,909,2017-03-17 00:00:00.000,2017-03-21 07:35:00.000,65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3801,3,910,2017-03-16 00:00:00.000,2017-03-16 23:00:00.000,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3802,20,910,2017-03-16 00:00:00.000,2017-03-16 22:22:00.000,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3803,2,910,2017-03-16 22:53:00.000,2017-03-16 22:53:00.000,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3804,4,910,2017-03-16 00:00:00.000,2017-03-16 23:20:58.290,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3805,3,911,2017-03-16 00:00:00.000,2017-03-16 23:30:00.000,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3806,2,911,2017-03-16 23:25:00.000,2017-03-16 23:25:00.000,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3807,4,911,2017-03-17 00:00:00.000,2017-03-17 00:17:11.187,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3808,3,912,2017-03-17 00:00:00.000,2017-03-17 00:25:00.000,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3809,2,912,2017-03-17 00:05:00.000,2017-03-17 00:05:00.000,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3810,4,912,2017-03-17 00:00:00.000,2017-03-17 00:26:51.397,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3811,3,913,2017-03-17 00:00:00.000,2017-03-17 00:05:00.000,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3812,2,913,2017-03-17 00:29:00.000,2017-03-17 00:29:00.000,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3813,4,913,2017-03-17 00:00:00.000,2017-03-17 00:32:29.030,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3814,3,914,2017-03-17 00:00:00.000,2017-03-17 01:10:00.000,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3815,2,914,2017-03-17 00:58:00.000,2017-03-17 00:58:00.000,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3816,4,914,2017-03-17 00:00:00.000,2017-03-17 01:38:08.397,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3817,3,915,2017-03-17 00:00:00.000,2017-03-17 02:21:00.000,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
